PropertyGFATotal,LargestPropertyUseTypeGFARatio,NumberofFloors,SecondLargestPropertyUseTypeGFARatio,LargestPropertyUseType,BuildingType,ThirdLargestPropertyUseTypeGFARatio,SiteEnergyUse(kBtu)
88434,1.0,12.0,0.0,Hotel,NonResidential,0.0,6981428.0
103566,0.8099183129598517,11.0,0.1454531409922175,Hotel,NonResidential,0.04462854604793079,8354235.0
61320,1.0,10.0,0.0,Hotel,NonResidential,0.0,28229320.0
119890,1.0296521811660688,18.0,0.5672616565184753,Hotel,NonResidential,0.0,14829099.0
97288,0.9130622481703807,2.0,0.0,Police Station,Nonresidential COS,0.0,12051984.0
83008,0.9800501156515035,11.0,0.0,Hotel,NonResidential,0.0,6252842.0
102761,1.0,8.0,0.0,Other - Entertainment/Public Assembly,NonResidential,0.0,6426022.0
163984,1.0,15.0,0.0,Hotel,NonResidential,0.0,12633744.0
63712,0.8810271220492215,6.0,0.0,Multifamily Housing,Multifamily MR (5-9),0.0,4587231.0
153163,0.8741275634454797,11.0,0.0,No information,NonResidential,0.0,14719853.0
333176,1.0103969073402645,25.0,0.0,Hotel,NonResidential,0.0,27717026.0
65009,1.0,9.0,0.0,Hotel,NonResidential,0.0,6807227.0
315952,0.9353034638172887,33.0,0.18230617308958322,Hotel,NonResidential,0.0,22811690.0
67390,1.0,11.0,0.0,No information,NonResidential,0.0,10711451.0
412000,0.8857111650485436,11.0,0.11893203883495146,Library,Nonresidential COS,0.0026067961165048546,16849234.0
103911,0.8661258192106707,6.0,0.38494480853807583,Fitness Center/Health Club/Gym,NonResidential,0.0,10340282.0
416281,0.8367641088591601,28.0,0.20418899733593415,Hotel,NonResidential,0.0,33270518.0
57452,0.28618672979182624,5.0,0.26987746292557263,Social/Meeting Hall,NonResidential,0.16955023323818144,7481768.0
104352,1.0,10.0,0.0,No information,NonResidential,0.0,7845112.0
540360,0.9940595158783033,10.0,0.0,Courthouse,NonResidential,0.0,53332648.0
385274,1.0,19.0,0.0,Other,NonResidential,0.0,50899248.0
56228,1.0372056626591735,2.0,0.0,K-12 School,SPS-District K-12,0.0,1454222.0
88592,0.6547543796279574,6.0,0.34524562037204265,Hotel,NonResidential,0.0,3880806.0
126593,0.9874163658338139,7.0,0.0,College/University,NonResidential,0.0,9791557.0
67224,1.0,2.0,0.0,Automobile Dealership,NonResidential,0.0,1388717.0
158676,0.7101010864907106,8.0,0.2646903123345686,Hotel,NonResidential,0.028359676321560917,5159342.0
171866,0.7500552756217053,10.0,0.0,Hotel,NonResidential,0.0,11026945.0
126351,1.0,1.0,0.0,K-12 School,SPS-District K-12,0.0,6283226.0
68410,0.7015640988159626,5.0,0.0,Hotel,NonResidential,0.0,4341706.0
160645,1.0223100625603039,2.0,0.0,K-12 School,SPS-District K-12,0.0,6387710.0
51582,1.069481602109263,2.0,0.0,K-12 School,SPS-District K-12,0.0,1472548.0
87262,0.46919621370126746,3.0,0.20802869519378422,Office,NonResidential,0.04935710847791708,3988729.0
81871,1.0,4.0,0.0,Hotel,NonResidential,0.0,7419765.0
126394,0.20748611484722376,2.0,0.0,Self-Storage Facility,NonResidential,0.0,306721.0
714095,1.0,2.0,0.0,No information,NonResidential,0.0,47843892.0
54986,1.0,2.0,0.0,K-12 School,SPS-District K-12,0.0,1655612.0
175565,1.041557257995614,2.0,0.0,K-12 School,SPS-District K-12,0.0,6227419.0
94900,0.5857323498419389,2.0,0.4142676501580611,Office,NonResidential,0.0,6043853.0
52554,0.9709822278037827,2.0,0.14935114358564525,Office,NonResidential,0.0,2137686.0
175015,1.0,3.0,0.0,K-12 School,NonResidential,0.0,7080118.0
70586,0.5445697447085824,3.0,0.3994701498880798,Self-Storage Facility,NonResidential,0.054670897911767206,2147062.0
332210,1.049426567532585,24.0,0.0,Hotel,NonResidential,0.0,15660628.0
168115,0.6156559497962704,5.0,0.3906611545668144,Office,NonResidential,0.0021057014543615976,9213841.0
59400,0.5883333333333334,8.0,0.08405723905723905,Office,NonResidential,0.0,3915947.0
52549,0.44720165940360423,2.0,0.44720165940360423,Other - Entertainment/Public Assembly,NonResidential,0.10388399398656492,15583947.0
48383,0.7889547981729119,4.0,0.21104520182708802,Multifamily Housing,Multifamily LR (1-4),0.0,2953338.0
98634,0.8474866678832856,20.0,0.10182087312691364,Hotel,NonResidential,0.050692458989800675,6175812.0
71150,0.5810260014054813,7.0,0.19297259311314124,Hotel,NonResidential,0.13498243148278286,5040382.0
122810,0.7194853839263904,7.0,0.21537334093314878,Hotel,NonResidential,0.06514127514046088,5086863.0
113173,0.6240622763379958,5.0,0.0,No information,NonResidential,0.0,4988241.0
150453,0.714821239855636,7.0,0.019939781858786466,Hotel,NonResidential,0.0,6722886.0
116300,0.7608770421324161,6.0,0.24333619948409285,Hotel,NonResidential,0.0,6014078.0
155602,1.0,6.0,0.0,Hotel,NonResidential,0.0,6915293.0
56072,1.0,3.0,0.0,K-12 School,NonResidential,0.0,3106930.0
122942,0.6348603406484359,4.0,0.36513965935156417,Hotel,NonResidential,0.0,5276777.0
54984,1.0,2.0,0.0,Office,NonResidential,0.0,3504957.0
217603,1.3617137631374567,5.0,0.0,Senior Care Community,NonResidential,0.0,45494324.0
93397,1.0,2.0,0.0,Senior Care Community,NonResidential,0.0,16371764.0
84103,0.7534927410437202,6.0,0.2465072589562798,Hotel,NonResidential,0.0,3979132.0
179014,1.0,3.0,0.0,Medical Office,NonResidential,0.0,18868768.0
76631,1.0,7.0,0.0,Hotel,NonResidential,0.0,7231928.0
187600,0.21414712153518123,6.0,0.1112366737739872,Medical Office,NonResidential,0.09072494669509595,15240688.0
58320,1.2358024691358025,2.0,0.0,Retail Store,NonResidential,0.0,1074180.0
316306,0.8277617244061131,5.0,0.47651957281872614,Office,NonResidential,0.04786188058399145,13300859.0
282863,0.8335766784627187,7.0,0.18219774236998124,Hotel,NonResidential,0.0,18829136.0
129000,2.852713178294574,1.0,0.0,Other,Nonresidential COS,0.0,29337400.0
91213,0.7126177189654983,1.0,0.0,Other,Nonresidential COS,0.0,5069854.0
396085,0.7031319035055607,5.0,0.0,Other,Nonresidential COS,0.0,27185096.0
571329,1.048084378702989,12.0,0.5438180102882927,Office,NonResidential,0.04586324166986097,41734776.0
49680,1.0466988727858293,2.0,0.0,Other,Nonresidential COS,0.0,2632472.0
60696,1.7793594306049823,1.0,0.0,Other,Nonresidential COS,0.0,924980.0
262048,1.129564049334473,2.0,0.0,Other,Nonresidential COS,0.0,20828130.0
66240,0.6929347826086957,2.0,0.07821557971014492,Office,NonResidential,0.06870471014492753,4329966.0
920598,0.7925109548358784,6.0,0.20097154241047666,Office,NonResidential,0.0065175027536449135,36681188.0
76213,0.6369779433954837,4.0,0.28150053140540326,Office,NonResidential,0.03156941729101334,3303553.0
117738,0.5094022320746063,6.0,0.3136965125957635,Hotel,NonResidential,0.0,5061274.0
50017,1.0,4.0,0.0,Hotel,NonResidential,0.0,5570472.0
74468,1.0040285760326584,3.0,0.0,K-12 School,SPS-District K-12,0.0,1857329.0
67743,1.0,3.0,0.0,K-12 School,NonResidential,0.0,2303288.0
194104,1.0,6.0,0.0,K-12 School,NonResidential,0.0,5889882.0
99433,0.6404413021833798,3.0,0.35955869781662025,Office,NonResidential,0.0,4439034.0
58933,1.0304074118066278,2.0,0.0,K-12 School,SPS-District K-12,0.0,2150120.0
130862,1.009154682031453,1.0,0.0,K-12 School,SPS-District K-12,0.0,5851209.0
59955,1.0,3.0,0.0,K-12 School,SPS-District K-12,0.0,1521329.0
93218,1.0,2.0,0.0,K-12 School,SPS-District K-12,0.0,3072599.0
56521,0.8669344137577184,4.0,0.0,Other,NonResidential,0.0,6443260.0
206934,0.5757681193037394,2.0,0.0,Other,NonResidential,0.0,4461969.0
51390,1.0,4.0,0.0,Hotel,NonResidential,0.0,3864699.0
131013,1.0068390159755138,2.0,0.0,K-12 School,SPS-District K-12,0.0,3939221.0
245587,1.0,1.0,0.0,K-12 School,SPS-District K-12,0.0,10444297.0
69138,1.0212762880037027,3.0,0.0,Hotel,NonResidential,0.0,3298570.0
66588,1.0,3.0,0.0,K-12 School,SPS-District K-12,0.0,2033074.0
190980,1.0,5.0,0.09975390093203476,Hotel,NonResidential,0.0,6935723.0
284100,0.6678986272439282,6.0,0.0,Other - Entertainment/Public Assembly,Nonresidential COS,0.0,14169301.0
55513,1.043070992380163,2.0,0.0,K-12 School,SPS-District K-12,0.0,1612965.0
61156,0.6991137419059454,4.0,0.47777814114723005,Other,Nonresidential COS,0.0,10434387.0
72820,0.7964844822850865,4.0,0.0,Museum,NonResidential,0.0,2076630.0
162222,0.700903699868082,4.0,0.20152630346068967,Hotel,NonResidential,0.0,7753080.0
289588,1.0,4.0,0.0,K-12 School,SPS-District K-12,0.0,8747819.0
63330,1.0235275540817939,3.0,0.0,College/University,NonResidential,0.0,2755578.0
441071,1.095061792772592,2.0,0.0,College/University,Campus,0.0,37430780.0
96300,0.9584631360332295,2.0,0.05133956386292835,Office,NonResidential,0.0,16238985.0
67356,1.014891026783063,1.0,0.0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Nonresidential COS,0.0,6577130.0
254523,1.0,3.0,0.0,K-12 School,SPS-District K-12,0.0,13609040.0
78804,1.0,3.0,0.0,K-12 School,SPS-District K-12,0.0,2447651.0
66994,1.0,3.0,0.0,K-12 School,SPS-District K-12,0.0,2266570.0
98357,1.0,3.0,0.0,K-12 School,SPS-District K-12,0.0,3265995.0
54765,0.4704647128640555,1.0,0.45649593718615905,Office,NonResidential,0.0,4316654.0
89821,0.5175070417831019,5.0,0.4223733870698389,Other - Lodging/Residential,NonResidential,0.05097916968192293,2017694.0
52611,1.0,2.0,0.0,College/University,NonResidential,0.0,4399828.0
139600,0.9707736389684813,4.0,0.0,Residence Hall/Dormitory,NonResidential,0.0,4418055.0
236758,1.002530009545612,2.0,0.0,K-12 School,SPS-District K-12,0.0,8050977.0
250981,0.5481092194229842,6.0,0.3122029157585634,Other,NonResidential,0.0,13901935.0
62526,1.0,3.0,0.0,K-12 School,SPS-District K-12,0.0,1841968.0
64015,0.46864016246192297,3.0,0.23432008123096149,Office,NonResidential,0.14082636881980787,3349666.0
530039,0.9529544052418785,1.0,0.047045594758121576,Retail Store,NonResidential,0.0,29067292.0
54224,0.8669961640601948,3.0,0.0,Other/Specialty Hospital,NonResidential,0.0,7613116.0
124342,0.9811648517797688,4.0,0.0,Retail Store,NonResidential,0.0,8835104.0
